SSIC,UEN,firm_type,ownership_type,exp_total_rnd,no_sc_researchers,no_pr_researchers,no_fc_researchers,no_phd_researchers,no_masters_researchers,no_bachelors_researchers,no_nondegree_researchers,no_postgrad_researchers
S2,5131,SME,IHL,1057.975,200,306,406,40,122,271,337,441
S3,5132,LLC,Gov,3214.456,192,49,238,406,437,100,374,100
S1,5133,SME,Gov,2628.947,463,765,367,77,501,554,73,209
S2,5134,SME,Private,3014.582,105,279,118,395,16,71,302,319
S1,5135,MNC,Private,1981.839,360,499,179,236,411,236,296,36
S2,5136,MNC,Public RI,2485.695,321,418,247,599,147,110,265,274
S2,5137,SME,Public RI,4629.5,93,288,502,43,234,642,206,512
S3,5138,MNC,IHL,4704.096,322,78,221,114,216,264,380,635
S1,5139,SME,Public RI,2797.18,156,56,235,382,649,53,224,204
S3,5140,MNC,Public RI,1974.305,730,96,474,107,202,640,439,1120
S2,5141,MNC,Public RI,4625.847,126,182,296,90,76,364,235,480
S2,5142,MNC,IHL,1122.76,102,522,723,291,471,704,169,253
S3,5143,SME,Private,4247.45,255,333,512,105,212,487,79,370
S1,5144,MNC,Private,3771.311,125,849,30,203,99,298,139,42
S3,5145,LLC,IHL,1369.857,204,130,750,153,119,170,222,342
S1,5146,LLC,Public RI,3245.663,203,400,35,90,418,74,477,323
S2,5147,SME,IHL,2236.958,1195,94,251,56,58,259,510,436
S1,5148,MNC,Private,2852.362,268,149,127,211,467,236,209,124
S3,5149,LLC,IHL,2593.679,171,90,340,195,273,277,170,425
S2,5150,LLC,IHL,2017.041,242,274,175,227,585,64,133,637
S3,5151,LLC,Gov,3949.433,68,255,313,479,213,431,58,99
S2,5152,LLC,Gov,2890.839,474,84,76,48,364,370,255,223
S1,5153,SME,IHL,3202.358,684,217,188,467,549,612,482,610
S2,5154,SME,Gov,3938.155,249,210,155,563,239,268,135,117
S2,5155,MNC,Public RI,2426.287,531,276,22,339,525,133,688,613
S2,5156,MNC,Private,3155.012,522,726,667,601,818,367,79,343
S2,5157,LLC,Gov,1907.35,77,106,120,520,326,122,157,197
S1,5158,SME,IHL,2161.425,110,219,293,187,740,188,177,166
S3,5159,MNC,Private,2519.324,631,180,120,781,277,384,257,34
S1,5160,SME,IHL,3074.754,377,357,247,568,192,283,377,256
S3,5161,LLC,Gov,2740.918,150,104,316,67,85,586,4,553
S2,5162,MNC,Gov,2430.341,102,163,304,123,157,294,189,99
S1,5163,LLC,Gov,3976.395,201,318,214,785,615,214,531,419
S2,5164,LLC,Private,4369.623,172,124,137,193,41,415,574,230
S2,5165,LLC,Public RI,4112.337,170,230,154,42,536,227,400,149
S3,5166,MNC,IHL,1846.798,79,635,323,198,132,258,155,94
S1,5167,SME,Public RI,3528.711,275,146,96,264,621,279,196,176
S1,5168,SME,IHL,2765.277,421,505,362,217,138,16,145,176
S2,5169,LLC,IHL,3753.755,540,416,700,58,123,467,153,110
S3,5170,LLC,IHL,1943.047,366,476,350,115,195,331,131,59
S3,5171,SME,IHL,1718.626,310,273,442,925,317,1259,344,151
S3,5172,LLC,IHL,4941.983,126,547,495,302,387,1179,145,205
S2,5173,MNC,Private,1350.194,349,103,72,252,6,185,922,308
S2,5174,LLC,Public RI,3881.01,197,347,103,155,213,1157,290,69
S3,5175,MNC,Gov,4034.745,34,75,464,408,93,252,375,510
S1,5176,SME,IHL,2947.564,137,404,529,185,372,537,62,294
S2,5177,SME,Gov,2447.351,207,181,212,44,212,342,97,568
S1,5178,LLC,IHL,2960.79,283,427,446,291,79,566,73,407
S2,5179,MNC,IHL,2654.706,968,64,721,222,564,586,56,307
S1,5180,LLC,IHL,3206.043,287,336,437,183,290,193,447,514
S2,5181,LLC,Private,2411.85,164,335,218,105,237,74,237,312
S2,5182,SME,IHL,2927.571,259,407,601,362,144,254,111,502
S1,5183,SME,Gov,2721.139,278,513,1052,406,378,307,222,162
S2,5184,LLC,Gov,1476.705,280,187,214,733,121,199,223,483
S2,5185,SME,Private,4609.793,469,210,104,9,556,342,391,215
S1,5186,MNC,Public RI,2119.558,236,234,224,62,495,210,141,350
S1,5187,MNC,IHL,3380.996,194,145,297,198,36,299,295,245
S2,5188,SME,Public RI,3336.119,95,209,741,262,75,121,358,265
S1,5189,LLC,Public RI,4738.612,169,395,332,43,149,94,375,108
S3,5190,LLC,Gov,3450.616,162,408,168,325,509,286,126,459
S2,5191,SME,IHL,4107.273,363,297,317,164,202,372,720,535
S1,5192,MNC,IHL,3157.233,504,374,307,107,245,125,326,313
S3,5193,SME,Private,3727.359,457,566,195,42,299,749,276,234
S1,5194,LLC,Private,1916.479,331,421,213,289,362,418,451,97
S3,5195,LLC,IHL,1899.841,248,406,181,153,89,655,174,120
S1,5196,MNC,IHL,3837.034,295,147,395,57,506,173,199,250
S3,5197,MNC,IHL,3036.461,169,248,407,273,290,147,408,51
S3,5198,SME,Gov,4404.276,312,359,625,190,333,361,202,1086
S2,5199,LLC,Gov,3943.371,437,34,21,830,519,277,503,364
S1,5200,LLC,Public RI,5143.635,255,159,283,216,251,166,399,382
S1,5201,MNC,IHL,3572.359,119,128,251,436,285,206,421,786
S3,5202,SME,Public RI,1984.415,150,103,476,181,868,62,227,431
S3,5203,MNC,Public RI,3202.265,184,142,186,274,152,180,122,498
S2,5204,LLC,IHL,2743.203,228,78,161,775,129,802,586,58
S3,5205,SME,IHL,3832.917,264,225,67,153,232,145,452,54
S3,5206,MNC,Gov,3823.437,682,829,279,662,223,522,195,521
S3,5207,MNC,Gov,4057.319,977,367,482,45,38,230,35,268
S1,5208,SME,Gov,3275.203,126,423,105,167,66,442,262,150
S2,5209,MNC,Gov,2728.197,359,222,243,333,1560,96,201,64
S2,5210,LLC,Gov,2367.798,484,225,482,189,223,417,248,48
S3,5211,MNC,Private,3030.077,375,122,175,264,417,795,100,403
S2,5212,LLC,Gov,1764.361,836,399,137,290,594,81,158,163
S3,5213,SME,Public RI,3312.634,392,500,373,322,377,371,352,98
S2,5214,LLC,IHL,2991.531,319,117,213,212,614,123,216,197
S1,5215,LLC,Public RI,3143.464,228,280,191,361,348,843,58,322
S3,5216,MNC,Private,3921.957,569,503,17,194,285,600,146,362
S2,5217,MNC,Public RI,2178.341,382,119,23,189,401,500,204,184
S3,5218,MNC,Private,2289.359,16,288,330,314,795,104,138,100
S1,5219,LLC,IHL,5040.781,712,145,822,425,286,248,151,247
S3,5220,SME,Public RI,1906.314,255,175,168,262,190,134,208,595
S2,5221,SME,Private,1837.438,1148,556,196,367,652,62,241,666
S2,5222,SME,IHL,3537.325,448,788,322,72,275,280,585,123
S1,5223,SME,Gov,3641.76,582,455,192,504,1074,457,169,123
S1,5224,LLC,Public RI,3065.112,150,432,233,207,272,219,337,939
S3,5225,SME,Public RI,1909.626,117,666,758,337,236,848,1197,185
S1,5226,MNC,Private,3775.289,300,463,270,426,195,407,82,217
S2,5227,SME,Private,2991.572,162,262,310,208,138,514,148,564
S1,5228,SME,Public RI,4160.51,1113,57,155,317,66,200,598,94
S1,5229,SME,Gov,3769.877,329,299,173,177,268,120,554,617
S1,5230,SME,IHL,1999.969,83,208,90,455,521,64,40,388
S3,5231,MNC,IHL,4583.856,127,571,141,271,57,260,411,422
S3,5232,SME,IHL,3216.264,133,482,137,116,389,215,247,542
S1,5233,LLC,Gov,1463.896,107,75,21,712,52,286,428,302
S2,5234,SME,Private,3670.238,78,431,398,536,488,248,185,152
S1,5235,LLC,Gov,6064.658,681,274,209,174,232,380,246,728
S2,5236,LLC,Private,3947.201,384,248,8,162,357,135,508,338
S1,5237,LLC,Public RI,3473.366,339,179,118,320,217,166,596,536
S2,5238,LLC,Private,3313.171,49,367,19,356,108,178,359,238
S2,5239,LLC,Gov,2606.138,257,426,233,69,135,113,291,459
S2,5240,SME,Public RI,3204.055,468,345,693,54,631,171,192,938
S2,5241,LLC,Private,2902.468,702,66,34,627,287,347,196,405
S3,5242,MNC,IHL,3462.185,167,1010,144,148,76,119,148,89
S1,5243,LLC,Private,2629.049,107,162,714,854,271,926,302,148
S2,5244,MNC,Public RI,2435.899,194,305,408,121,134,149,264,224
S2,5245,LLC,IHL,4481.499,253,546,252,83,327,340,454,251
S3,5246,MNC,Public RI,1978.362,392,586,301,171,307,189,53,111
S1,5247,MNC,Private,2681.829,68,597,13,422,488,488,101,151
S3,5248,LLC,Private,3553.106,130,251,463,262,286,290,487,72
S2,5249,MNC,Private,5237.651,180,169,246,203,360,330,480,256
S1,5250,MNC,Gov,2130.554,329,701,879,578,467,308,267,202
S2,5251,SME,IHL,3957.787,246,647,290,1009,309,471,101,89
S2,5252,LLC,Private,2587.549,419,485,184,12,210,373,187,117
S1,5253,LLC,Gov,2597.813,387,925,75,430,195,358,442,367
S1,5254,SME,IHL,2511.493,220,33,249,44,93,133,427,217
S2,5255,LLC,Gov,3502.191,374,788,180,229,127,240,200,207
S1,5256,SME,Gov,2247.863,585,270,433,100,125,716,428,351
S2,5257,SME,Private,2207.975,271,387,775,37,47,161,92,308
S2,5258,LLC,Public RI,2486.49,153,585,385,101,269,458,321,497
S1,5259,LLC,Public RI,2676.635,505,116,346,390,324,556,171,450
S1,5260,MNC,Gov,2956.699,250,585,204,497,255,16,244,79
S3,5261,LLC,IHL,3033.997,271,244,80,118,312,449,687,562
S3,5262,LLC,Public RI,1174.809,567,318,556,142,549,37,438,110
S3,5263,LLC,IHL,2567.561,219,156,1056,298,580,176,189,180
S3,5264,LLC,Gov,2219.247,99,37,522,23,121,196,1424,293
S2,5265,LLC,Gov,4198.517,304,248,501,308,257,224,175,485
S2,5266,MNC,Private,2098.29,140,400,68,413,242,94,569,130
S2,5267,SME,IHL,3226.328,66,192,200,156,84,209,615,411
S1,5268,LLC,Gov,2273.869,52,234,595,523,435,359,921,377
S2,5269,LLC,Gov,1973.106,95,217,393,298,297,700,100,360
S2,5270,SME,IHL,3412.372,504,748,596,99,323,51,588,563
S2,5271,SME,Gov,4094.533,23,163,297,489,1507,262,295,557
S3,5272,MNC,Private,1438.518,1024,208,525,300,74,484,86,193
S3,5273,SME,IHL,5346.4,45,201,285,517,125,644,306,269
S2,5274,LLC,Private,1593.331,234,160,295,428,502,559,78,472
S3,5275,LLC,Gov,3222.711,264,96,356,230,95,108,186,254
S1,5276,LLC,Gov,1499.369,180,281,436,871,158,308,186,86
S2,5277,LLC,Private,3598.634,614,190,98,565,151,232,267,502
S3,5278,LLC,Gov,1116.966,432,86,375,327,294,356,396,922
S3,5279,MNC,IHL,3681.3,449,353,49,252,536,209,194,397
S1,5280,MNC,Private,4101.69,189,301,227,23,329,546,176,144
S2,5281,LLC,IHL,3460.587,294,267,440,218,435,281,242,476
S2,5282,LLC,Private,3668.726,141,556,439,422,194,39,313,267
S1,5283,MNC,IHL,2097.738,200,87,108,184,235,440,444,384
S2,5284,LLC,Gov,2118.427,298,145,147,537,397,43,773,143
S3,5285,SME,Private,1024.848,206,392,488,262,95,277,163,212
S1,5286,MNC,Public RI,2624.896,154,98,113,123,148,48,497,820
S2,5287,LLC,IHL,2034.264,441,259,614,188,104,90,383,49
S1,5288,SME,IHL,2683.103,9,592,504,360,408,23,63,251
S1,5289,SME,Gov,2847.67,335,602,221,44,376,286,47,208
S2,5290,MNC,Gov,2885.057,247,154,320,124,25,373,179,76
S2,5291,LLC,IHL,3986.186,652,225,452,270,43,803,537,110
S1,5292,MNC,Public RI,1610.376,463,207,95,43,1095,414,165,305
S1,5293,MNC,IHL,2077.463,193,174,349,575,86,205,669,166
S2,5294,SME,Gov,3960.926,151,167,182,276,358,476,70,199
S2,5295,MNC,Private,3114.936,74,412,160,112,373,13,351,1029
S2,5296,MNC,Gov,2560.31,325,91,231,297,23,335,178,142
S2,5297,SME,Private,3680.228,209,143,415,286,751,179,435,168
S3,5298,SME,Gov,1517.596,284,146,242,172,338,28,65,160
S3,5299,MNC,Private,1823.623,666,159,193,309,244,464,435,857
S2,5300,LLC,Gov,3231.462,307,111,84,283,85,592,343,221
S3,5301,SME,Gov,2917.448,204,133,113,522,201,161,182,244
S2,5302,MNC,Private,4382.433,924,114,192,368,84,205,414,417
S3,5303,LLC,IHL,2219.7,266,376,55,103,141,371,611,901
S1,5304,SME,Public RI,2459.793,850,422,515,497,125,456,118,723
S2,5305,MNC,Public RI,3849.093,540,297,253,594,436,46,270,74
S2,5306,LLC,Private,2899.42,244,241,706,229,352,147,308,552
S3,5307,MNC,Public RI,2590.579,138,190,124,117,127,404,380,389
S2,5308,LLC,Public RI,3662.476,582,62,133,243,266,231,67,473
S3,5309,MNC,Public RI,3611.206,500,587,20,216,797,330,81,105
S3,5310,SME,Gov,1226.697,103,282,264,60,73,471,377,353
S3,5311,SME,Private,3691.842,278,282,103,37,221,550,192,609
S3,5312,SME,Gov,1499.451,681,131,331,107,301,329,168,226
S2,5313,LLC,Private,1649.669,534,199,152,349,151,299,112,75
S1,5314,SME,Public RI,1539.656,372,582,174,552,247,261,329,123
S3,5315,LLC,Private,2828.215,63,390,665,456,85,59,354,71
S1,5316,MNC,IHL,2718.487,152,1062,371,331,108,283,138,53
S2,5317,MNC,Private,2964.914,217,129,433,286,783,363,180,58
S3,5318,SME,Private,3088.151,289,238,459,167,405,23,431,270
S1,5319,MNC,Private,3932.405,409,223,478,408,172,282,302,227
S1,5320,MNC,IHL,2633.637,304,217,151,413,133,200,64,89
S1,5321,LLC,Gov,2629.87,231,127,610,156,614,429,347,174
S1,5322,MNC,Public RI,2071.868,8,697,352,356,1314,301,638,239
S2,5323,LLC,Private,4641.765,88,551,185,477,452,108,236,225
S1,5324,MNC,IHL,2180.206,285,528,747,125,126,45,875,307
S3,5325,MNC,Gov,3002.354,180,354,431,84,96,145,108,302
S1,5326,LLC,Gov,4565.947,285,788,418,187,178,353,165,129
S1,5327,SME,Private,3813.841,672,530,485,175,81,267,203,258
S1,5328,LLC,Private,1660.152,190,709,337,161,64,431,384,371
S1,5329,SME,Public RI,3102.105,409,306,529,150,124,198,131,850
S2,5330,SME,Public RI,2999.418,1444,262,118,516,97,363,135,158
S1,5331,MNC,IHL,4955.836,185,375,580,448,104,507,212,346
S3,5332,MNC,Public RI,2382.693,474,28,359,244,324,34,163,74
S1,5333,SME,Private,1008.226,287,156,32,290,621,30,33,585
S1,5334,MNC,Private,1901.899,169,486,186,433,113,275,424,99
S2,5335,LLC,Gov,2613.188,70,187,193,198,215,41,179,190
S1,5336,MNC,IHL,3804.113,134,188,130,207,529,625,77,256
S3,5337,SME,IHL,2042.076,537,817,119,131,358,630,169,217
S3,5338,LLC,Gov,3708.03,81,198,490,164,206,300,132,28
S2,5339,MNC,IHL,2369.724,191,188,525,401,330,312,488,370
S3,5340,LLC,Gov,3155.459,806,88,88,659,134,168,187,167
S2,5341,MNC,Public RI,3554.886,830,252,295,645,630,80,432,74
S2,5342,MNC,Private,2540.327,182,397,148,15,160,268,890,439
S3,5343,SME,Public RI,2706.772,495,248,61,153,77,128,15,256
S1,5344,LLC,Gov,1031.654,178,528,393,106,68,302,321,212
S3,5345,SME,Gov,1888.083,164,30,137,900,326,330,467,723
S2,5346,SME,IHL,4712.815,292,25,252,82,412,563,355,210
S2,5347,LLC,IHL,2639.473,363,704,264,636,225,185,231,300
S1,5348,LLC,Private,1395.95,512,401,265,320,359,222,413,35
S2,5349,LLC,IHL,1662.776,62,584,83,750,350,811,874,267
S2,5350,LLC,Public RI,3380.965,171,398,109,59,421,281,115,174
S2,5351,SME,IHL,3100.573,171,294,172,282,496,121,54,255
S3,5352,SME,Public RI,2491.208,21,204,505,525,77,250,258,330
S2,5353,LLC,Private,4741.71,298,40,134,678,743,543,165,171
S1,5354,SME,Gov,3037.159,51,207,80,180,111,180,276,18
S2,5355,LLC,Gov,3236.304,718,242,226,175,546,222,225,113
S1,5356,SME,Private,2962.963,598,58,252,112,453,58,326,888
S3,5357,SME,Private,3087.035,141,233,185,207,506,212,170,107
S3,5358,LLC,IHL,2575.892,101,306,30,171,316,297,78,544
S2,5359,MNC,Public RI,2142.401,149,605,245,267,438,129,292,968
S1,5360,SME,Gov,2010.011,44,49,293,363,361,381,52,302
S2,5361,LLC,Private,3371.714,308,119,149,508,335,241,798,195
S2,5362,LLC,IHL,1677.804,105,583,295,619,173,139,892,50
S1,5363,LLC,Private,3926.399,155,122,113,100,213,804,190,445
S2,5364,MNC,Gov,2262.818,219,149,413,148,400,81,162,191
S3,5365,MNC,Public RI,2408.304,133,407,336,266,190,478,189,243
S3,5366,MNC,Public RI,1707.636,371,533,39,685,73,509,120,362
S2,5367,MNC,Public RI,3904.772,277,150,368,329,757,271,85,227
S3,5368,MNC,Private,3322.086,567,367,195,262,502,212,223,345
S2,5369,MNC,Private,1740.174,351,71,6,206,224,81,363,566
S2,5370,SME,Public RI,2600.059,392,217,537,32,485,194,135,86
S2,5371,MNC,Public RI,3426.764,63,425,228,690,403,104,551,150
S2,5372,LLC,Private,1802.053,62,494,390,84,334,531,436,169
S1,5373,MNC,Private,3862.311,363,353,165,465,292,145,237,59
S2,5374,LLC,Public RI,3443.285,42,278,113,196,1144,350,182,191
S2,5375,SME,Private,2692.324,150,195,84,281,67,41,234,40
S1,5376,MNC,Private,2695.165,231,240,55,404,153,1017,197,393
S1,5377,MNC,Gov,3153.464,115,308,36,154,91,330,1129,570
S3,5378,MNC,Public RI,4393.988,105,233,525,104,46,245,187,199
S3,5379,MNC,IHL,3093.878,382,125,291,9,1010,170,222,193
S2,5380,LLC,Gov,1904.724,496,188,108,468,106,138,58,463
S2,5381,LLC,Private,4559.261,806,122,56,674,115,144,820,148
S3,5382,MNC,Public RI,2615.063,89,112,171,269,329,550,59,118
S1,5383,MNC,Public RI,2938.969,152,293,751,585,223,113,354,395
S1,5384,MNC,Public RI,2207.508,583,372,1010,55,218,737,161,394
S2,5385,MNC,Gov,1617.052,568,153,254,154,56,230,338,895
S1,5386,SME,Public RI,1368.152,648,311,268,37,213,685,563,745
S2,5387,LLC,Public RI,2629.395,47,253,305,384,481,621,276,183
S2,5388,SME,Private,2726.667,1320,246,247,170,365,67,268,51
S2,5389,SME,Gov,3552.291,170,143,547,306,784,140,654,260
S3,5390,SME,Gov,3301.532,254,138,27,47,209,201,246,222
S2,5391,MNC,IHL,3235.421,195,224,443,368,76,268,1347,358
S1,5392,LLC,Gov,2555.695,322,84,448,264,443,90,105,294
S2,5393,MNC,Private,2871.348,329,157,511,129,168,192,343,190
S3,5394,LLC,Public RI,3403.826,647,458,798,337,423,112,307,498
S1,5395,MNC,IHL,5779.204,201,89,76,388,148,244,328,129
S1,5396,LLC,Gov,2952.542,156,324,119,416,141,318,69,189
S1,5397,MNC,Private,3391.768,183,402,178,447,254,236,663,760
S1,5398,SME,Private,8705.787,245,47,245,151,65,158,258,271
S2,5399,LLC,IHL,2315.923,233,186,441,270,243,43,220,137
S3,5400,MNC,Public RI,3235.051,129,126,541,155,126,546,92,138
S3,5401,SME,IHL,2515.1,609,209,522,66,62,408,870,436
S2,5402,MNC,IHL,2274.023,475,80,397,279,516,236,488,132
S2,5403,LLC,IHL,2107.823,668,360,377,736,467,223,483,75
S3,5404,LLC,Public RI,4058.52,225,210,291,1144,191,313,451,273
S3,5405,LLC,Private,3437.668,278,156,193,60,199,166,281,950
S2,5406,MNC,IHL,4052.767,317,176,243,41,189,355,488,427
S1,5407,SME,Gov,1900.591,206,451,301,77,240,211,63,54
S2,5408,MNC,Private,2593.695,326,561,251,264,439,166,333,16
S2,5409,LLC,Gov,2650.66,437,163,93,350,515,113,45,137
S2,5410,SME,Private,2917.382,555,907,274,154,149,102,732,734
S2,5411,LLC,Public RI,1770.301,319,370,188,770,197,357,96,231
S1,5412,MNC,Private,3709.927,140,168,100,429,67,360,246,85
S1,5413,MNC,Gov,4597.539,396,94,540,261,203,409,808,203
S3,5414,SME,Private,3046.031,308,206,79,530,368,275,286,181
S3,5415,MNC,Gov,3297.568,79,586,238,158,108,393,379,913
S3,5416,MNC,IHL,2701.582,113,109,354,169,542,105,130,735
S2,5417,SME,Public RI,2306.834,600,206,338,352,512,84,439,204
S1,5418,LLC,Gov,2602.155,99,518,292,125,41,487,199,460
S3,5419,MNC,Private,3247.247,616,287,133,319,550,106,568,144
S3,5420,LLC,IHL,3150.697,52,418,110,624,450,201,219,245
S3,5421,LLC,Public RI,3704.6,628,550,153,194,159,244,98,247
S2,5422,MNC,Gov,3626.638,18,76,35,126,306,594,426,121
S1,5423,LLC,IHL,1807.74,566,215,163,54,408,848,54,272
S1,5424,MNC,IHL,2244.303,322,612,252,190,275,310,226,104
S2,5425,LLC,Private,2972.394,128,126,260,263,554,66,247,295
S1,5426,MNC,Public RI,3057.08,491,437,413,36,63,84,194,418
S3,5427,SME,Gov,4583.818,224,527,135,309,545,171,487,145
S1,5428,LLC,IHL,4353.073,364,771,410,409,695,743,151,450
S3,5429,LLC,Public RI,1902.252,269,354,263,79,87,23,872,85
S2,5430,LLC,Private,2001.271,798,521,46,304,144,154,398,183
S1,5431,SME,IHL,2740.302,317,216,127,310,308,411,294,598
S3,5432,MNC,IHL,4374.647,437,148,545,418,331,58,521,387
S3,5433,LLC,Gov,1680.369,660,382,461,684,104,84,309,313
S1,5434,SME,Gov,5816.606,382,452,89,83,772,50,309,61
S3,5435,LLC,Private,2477.646,31,491,214,157,549,164,515,194
S1,5436,LLC,IHL,1399.385,172,408,380,72,67,681,72,87
S1,5437,MNC,Public RI,3312.052,236,720,155,341,171,56,71,138
S2,5438,LLC,Public RI,3351.413,26,308,201,358,396,161,216,492
S3,5439,SME,Private,2390.94,522,347,944,601,476,158,602,157
S3,5440,MNC,IHL,2351.384,149,480,246,310,60,166,427,665
S2,5441,SME,Gov,3347.009,193,629,364,655,222,350,228,218
S3,5442,SME,Gov,3037.524,148,367,73,141,100,528,74,186
S3,5443,MNC,Public RI,2423.147,215,95,669,197,160,192,239,293
S3,5444,MNC,Gov,4488.01,191,626,251,38,787,106,285,126
S1,5445,MNC,Public RI,3315.804,123,328,467,205,420,238,745,98
S2,5446,SME,Private,2586.601,216,606,82,78,546,321,557,396
S1,5447,SME,Gov,2127.82,61,800,639,363,197,59,287,585
S1,5448,MNC,IHL,2882.854,64,155,190,264,300,149,176,318
S1,5449,LLC,Gov,2375.184,87,520,201,657,79,612,457,120
S3,5450,MNC,Private,2997.295,423,397,295,292,203,336,379,142
S2,5451,MNC,IHL,4210.889,241,148,268,966,77,194,375,124
S1,5452,MNC,IHL,4121.028,967,39,204,110,258,274,168,147
S2,5453,MNC,Private,1414.504,136,5,169,508,201,103,134,313
S3,5454,SME,IHL,2384.271,338,546,65,324,50,1317,81,598
S2,5455,LLC,Public RI,4317.986,76,131,101,319,148,570,414,330
S2,5456,MNC,IHL,3510.957,313,235,127,345,469,668,606,677
S2,5457,MNC,Gov,2576.952,44,128,401,105,237,32,311,1579
S1,5458,MNC,Public RI,2470.132,350,126,518,93,458,234,194,410
S2,5459,LLC,Public RI,3863.648,200,590,270,592,279,179,399,397
S2,5460,LLC,Gov,3394.0,224,159,344,184,421,125,114,246
S1,5461,LLC,Gov,2907.445,153,167,123,774,470,173,470,362
S3,5462,MNC,Gov,4281.858,362,54,231,468,430,162,76,193
S1,5463,SME,Gov,2120.505,98,125,397,260,329,336,70,770
S3,5464,LLC,Private,2673.53,367,213,85,397,165,165,122,651
S1,5465,LLC,Public RI,3774.728,104,31,128,201,172,499,391,174
S3,5466,SME,Gov,4508.067,424,309,301,300,196,411,509,321
S2,5467,MNC,Gov,1871.196,238,317,90,236,223,272,707,108
S1,5468,LLC,Private,3327.468,182,89,211,5,29,433,139,243
S3,5469,LLC,Gov,5127.723,242,97,634,540,241,145,267,462
S2,5470,SME,Public RI,1728.654,211,422,635,107,200,263,114,483
S3,5471,MNC,Gov,3742.84,733,315,312,303,25,264,302,233
S1,5472,LLC,Public RI,3264.351,185,180,230,381,17,284,353,201
S1,5473,LLC,Public RI,2124.608,527,172,382,370,435,89,200,160
S1,5474,MNC,IHL,2848.833,75,203,214,251,246,283,318,88
S2,5475,MNC,Public RI,1791.665,113,409,419,209,156,709,261,46
S2,5476,MNC,IHL,2413.388,267,222,277,202,191,176,678,452
S1,5477,SME,Private,2604.112,396,54,149,62,503,218,146,225
S1,5478,LLC,IHL,3079.648,227,348,464,149,237,144,98,298
S2,5479,LLC,Gov,4802.29,150,218,493,23,229,459,318,532
S3,5480,MNC,Public RI,4218.501,220,53,180,296,530,302,165,483
S2,5481,LLC,Private,5091.691,189,347,347,49,363,234,215,56
S3,5482,SME,Gov,3803.152,420,277,277,26,59,248,258,329
S1,5483,LLC,Gov,5122.903,83,487,344,769,47,93,161,548
S3,5484,SME,Public RI,1597.188,627,143,308,383,288,449,189,457
S2,5485,MNC,Private,3314.88,334,109,102,848,166,358,623,391
S3,5486,SME,Private,4272.107,320,662,122,303,271,660,96,213
S2,5487,SME,Private,2384.542,146,1121,1503,257,328,424,17,237
S3,5488,SME,Public RI,6884.525,270,1027,1084,195,48,520,91,321
S1,5489,LLC,Public RI,2238.37,184,59,277,287,199,289,449,311
S3,5490,SME,IHL,2275.596,731,1179,268,286,255,140,60,1007
S3,5491,MNC,Private,2291.664,364,506,563,270,136,253,161,149
S3,5492,LLC,Gov,3501.306,209,292,624,285,373,33,284,343
S1,5493,MNC,Gov,2438.789,411,967,135,230,958,233,70,34
S2,5494,MNC,Private,2348.229,53,256,179,27,161,190,76,192
S2,5495,MNC,Private,4781.3,126,354,619,283,155,242,294,203
S2,5496,SME,Public RI,2612.896,492,741,677,570,414,727,699,78
S3,5497,SME,IHL,2141.13,27,243,436,162,416,141,155,144
S3,5498,SME,Public RI,3963.973,265,201,343,242,167,97,397,351
S2,5499,LLC,Public RI,1845.339,1018,523,61,206,39,423,103,338
S2,5500,SME,Gov,2796.648,94,339,123,80,77,451,361,214
S2,5501,LLC,Public RI,3214.892,987,377,368,84,533,424,554,304
S2,5502,MNC,IHL,1963.981,623,70,37,281,314,471,525,354
S1,5503,LLC,Private,2145.819,131,364,1044,648,139,298,256,374
S2,5504,MNC,Gov,4420.963,210,190,419,108,295,544,24,34
S1,5505,MNC,Gov,2718.136,48,219,383,514,416,136,472,48
S3,5506,SME,Private,2899.169,287,145,163,171,143,271,511,242
S1,5507,LLC,Public RI,3661.068,218,139,128,437,298,357,154,1125
S1,5508,LLC,Public RI,1931.613,280,218,206,409,153,360,223,166
S2,5509,MNC,Gov,3949.31,179,364,49,587,408,435,141,187
S2,5510,LLC,Gov,3625.222,273,108,60,1576,110,152,200,242
S1,5511,SME,Gov,1574.48,289,299,188,400,184,523,181,61
S2,5512,SME,Gov,3382.138,395,267,145,278,296,53,461,627
S3,5513,MNC,Private,3400.491,79,547,213,304,40,602,421,74
S1,5514,MNC,IHL,3292.159,358,446,276,409,126,328,66,354
S3,5515,LLC,Private,3355.285,176,277,81,220,160,112,467,191
S2,5516,LLC,Public RI,3810.019,135,413,47,290,123,256,324,140
S2,5517,LLC,Private,2702.002,225,97,465,399,303,165,193,227
S2,5518,SME,Private,2975.919,189,389,69,163,920,96,576,287
S2,5519,LLC,Gov,4015.361,187,823,266,140,104,75,359,441
S3,5520,MNC,IHL,2543.814,217,178,138,278,191,570,276,447
S1,5521,MNC,Gov,3430.697,120,152,239,267,302,11,378,188
S2,5522,MNC,IHL,4178.264,603,249,148,243,35,95,278,177
S1,5523,LLC,Gov,3033.486,315,395,448,115,522,283,561,221
S1,5524,SME,Public RI,3116.499,432,795,165,396,658,356,252,88
S2,5525,LLC,Public RI,4427.882,367,146,348,171,81,170,131,282
S3,5526,LLC,Public RI,3184.332,491,553,986,80,146,264,315,546
S1,5527,MNC,Private,4032.384,130,164,390,1237,93,129,92,636
S1,5528,MNC,Gov,3201.768,171,223,364,293,226,410,136,228
S2,5529,MNC,Public RI,4155.02,338,224,274,606,225,154,52,448
